IDVENTA,IDCLIENTE,CANTAFICHES,ARCHIVO,ZONA,ESTADO
1,44,2,consequatIn.tiff,1,1
2,35,20,ullamcorperPurus.png,3,0
3,40,12,nonSodales.png,3,1
4,27,10,necEuismodScelerisque.jpeg,2,1
5,30,7,ametEleifendPede.jpeg,3,0
6,89,1,at.tiff,1,0
7,41,11,suspendissePotenti.tiff,2,1
8,28,19,nullamSitAmet.jpeg,1,1
9,24,16,etiam.gif,3,1
10,59,1,utVolutpatSapien.jpeg,3,1
11,56,6,quamSapien.png,2,1
12,29,17,sedMagnaAt.jpeg,2,1
13,45,10,convallis.jpeg,3,1
14,59,4,acDiam.gif,2,1
15,23,11,ultricesEnimLorem.png,2,1
16,26,18,vitaeConsectetuer.tiff,3,0
17,74,10,orciLuctusEt.jpeg,2,0
18,93,19,augueASuscipit.jpeg,2,1
19,79,12,vitaeQuamSuspendisse.gif,1,0
20,11,9,ipsumAliquam.jpeg,3,1
21,41,10,augue.png,3,1
22,36,10,volutpatEleifendDonec.tiff,2,1
23,99,20,tortorRisusDapibus.tiff,3,0
24,39,19,erosVestibulum.jpeg,1,1
25,47,4,atVulputateVitae.tiff,2,0
26,57,11,sit.tiff,2,1
27,7,13,urnaPretiumNisl.png,1,0
28,42,15,consequat.png,3,1
29,92,20,tortorId.jpeg,3,0
30,25,14,volutpatEratQuisque.gif,1,0
31,85,4,aeneanSitAmet.jpeg,2,0
32,37,9,elitAc.tiff,3,1
33,47,14,magna.jpeg,3,0
34,42,3,aeneanAuctorGravida.gif,1,0
35,41,17,vitae.jpeg,2,0
36,79,14,convallisMorbiOdio.tiff,3,1
37,41,18,ipsum.png,1,1
38,37,18,scelerisqueQuamTurpis.tiff,2,1
39,26,8,ametLobortis.png,1,0
40,84,5,etUltrices.png,1,0
41,87,10,aliquetUltricesErat.png,3,1
42,94,19,etCommodo.jpeg,3,0
43,55,18,sedVestibulum.jpeg,2,1
44,37,7,sem.gif,1,0
45,28,13,duiNec.tiff,1,1
46,83,3,pellentesque.png,2,1
47,91,7,dapibus.tiff,2,1
48,80,15,curabiturInLibero.tiff,1,1
49,78,12,eleifend.tiff,1,0
50,37,20,velit.png,2,0
51,90,1,semSed.tiff,1,1
52,60,5,accumsanTellusNisi.tiff,2,1
53,32,16,sociisNatoque.tiff,1,0
54,23,12,sitAmetNunc.jpeg,2,0
55,28,7,estCongue.tiff,1,1
56,34,17,musVivamus.gif,2,1
57,66,7,velIpsum.gif,2,1
58,22,7,auctor.gif,2,1
59,73,7,nisiVenenatisTristique.jpeg,2,0
60,67,17,lacusMorbi.tiff,1,0
61,28,6,inCongueEtiam.tiff,3,1
62,67,18,nibh.jpeg,2,0
63,31,15,pede.png,1,1
64,70,5,nam.gif,3,1
65,23,15,tinciduntNulla.tiff,3,1
66,69,14,maecenas.tiff,2,0
67,51,16,aSuscipit.tiff,3,0
68,25,16,sapienInSapien.tiff,1,0
69,60,6,aliquamLacusMorbi.tiff,3,1
70,70,6,egetElit.tiff,1,0
71,53,1,quis.jpeg,1,0
72,27,4,curaeDuis.tiff,1,0
73,93,14,tellus.tiff,3,0
74,48,12,aLibero.png,2,1
75,26,5,interdum.jpeg,2,0
76,27,12,massaQuis.jpeg,1,1
77,47,18,quam.gif,2,0
78,20,4,tristiqueFusceCongue.tiff,2,1
79,43,16,nibh.tiff,3,1
80,26,17,tempusSit.tiff,2,1
81,5,1,nonMi.tiff,1,0
82,18,7,nasceturRidiculusMus.tiff,2,0
83,12,14,pulvinar.tiff,1,1
84,99,6,vestibulumAliquetUltrices.jpeg,3,0
85,86,17,elitProin.tiff,1,1
86,12,15,quam.gif,3,0
87,21,11,ipsumDolorSit.gif,3,0
88,61,15,namTristiqueTortor.png,2,1
89,56,12,faucibus.jpeg,3,0
90,3,19,aPedePosuere.gif,1,0
91,75,1,tincidunt.png,2,0
92,60,1,duisBibendum.tiff,3,1
93,69,16,atTurpisA.tiff,3,1
94,1,16,nulla.png,3,1
95,66,15,non.tiff,2,0
96,4,11,egestasMetus.jpeg,2,1
97,23,18,vestibulum.png,2,1
98,18,13,scelerisque.jpeg,2,1
99,63,14,liberoQuis.tiff,3,0
100,7,8,velit.tiff,2,1
101,7,19,eu.png,1,1
102,85,9,posuereNonummy.png,3,1
103,30,16,pretium.tiff,2,0
104,49,10,morbi.tiff,3,0
105,58,8,nullaUltricesAliquet.jpeg,3,0
106,78,15,curae.jpeg,2,0
107,76,19,turpisAdipiscingLorem.gif,2,0
108,63,10,vel.jpeg,3,0
109,79,19,tristiqueInTempus.jpeg,2,0
110,30,5,sitAmet.gif,1,0
111,27,11,gravidaNisiAt.png,3,0
112,15,6,nisi.tiff,3,1
113,41,3,estLacinia.jpeg,3,1
114,11,2,pedeMorbi.png,1,1
115,52,19,turpis.tiff,1,0
116,93,8,acLobortisVel.gif,2,1
117,14,18,in.gif,3,0
118,27,1,rhoncus.tiff,3,0
119,15,17,vitaeIpsumAliquam.jpeg,2,1
120,41,17,consequatNullaNisl.jpeg,1,1
121,16,7,ultricesPosuereCubilia.png,3,1
122,61,5,facilisiCras.tiff,1,1
123,16,10,rhoncusAliquamLacus.jpeg,2,0
124,45,15,velitNecNisi.jpeg,2,0
125,41,9,idOrnare.jpeg,2,0
126,35,6,velDapibus.png,3,1
127,39,2,duisMattisEgestas.gif,1,1
128,42,12,aliquamConvallisNunc.jpeg,2,1
129,17,19,nislUt.jpeg,1,0
130,97,2,elementumNullam.tiff,1,0
131,73,6,dictumstAliquam.tiff,2,1
132,47,13,nonMauris.tiff,3,0
133,77,2,sollicitudinMiSit.tiff,1,0
134,30,13,velPede.jpeg,1,1
135,17,1,nisi.tiff,2,1
136,19,9,habitassePlatea.tiff,3,1
137,32,3,massaIdLobortis.png,1,1
138,62,5,posuereCubiliaCurae.png,1,0
139,91,10,convallisNulla.tiff,2,1
140,54,5,natoquePenatibusEt.png,2,1
141,88,19,velAugueVestibulum.png,2,1
142,14,9,utEratCurabitur.jpeg,1,0
143,50,11,fusceCongueDiam.jpeg,1,1
144,17,7,vestibulum.tiff,1,1
145,59,17,interdum.jpeg,1,1
146,85,14,semperEst.png,3,1
147,29,18,sapien.jpeg,3,0
148,37,5,acEnimIn.png,2,0
149,93,12,sollicitudinVitae.jpeg,2,0
150,42,11,nonMaurisMorbi.tiff,2,1
151,79,14,sagittis.jpeg,2,1
152,86,19,mauris.jpeg,2,1
153,6,17,inEstRisus.jpeg,1,1
154,22,20,enimLeo.png,1,0
155,53,5,utAt.tiff,1,1
156,43,19,elementumEu.tiff,1,1
157,37,12,aLibero.tiff,1,0
158,64,18,pedeUllamcorper.gif,2,0
159,95,16,etUltrices.jpeg,3,0
160,22,2,etErosVestibulum.jpeg,3,0
161,84,6,ut.jpeg,3,1
162,76,3,condimentumCurabitur.jpeg,2,1
163,16,13,felisEuSapien.jpeg,3,0
164,2,11,ultricesMattis.tiff,3,0
165,73,12,nuncViverra.jpeg,2,0
166,26,19,quam.tiff,3,0
167,63,10,laciniaAenean.jpeg,2,1
168,43,13,semFusceConsequat.png,3,0
169,91,10,eu.tiff,2,0
170,12,1,nec.tiff,1,1
171,49,16,interdum.jpeg,2,0
172,72,4,aliquetUltricesErat.gif,2,1
173,14,14,inFaucibusOrci.gif,3,0
